rowid,orderid,orderdate,shipdate,shipmode,customerid,customername,segment,country,city,state,postalcode,region,productid,category,subcategory,productname,sales
7050,CA-2015-141355,"","",Standard Class,BF-11005,Barry Franz,Home Office,United States,Aurora,Colorado,80013,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,14.576
7532,CA-2017-107146,"","",First Class,LC-16885,Lena Creighton,Consumer,United States,Longmont,Colorado,80501,West,FUR-FU-10002298,Furniture,Furnishings,"\"Rubbermaid ClusterMat Chairmats",""
7533,CA-2017-107146,"","",First Class,LC-16885,Lena Creighton,Consumer,United States,Longmont,Colorado,80501,West,FUR-CH-10004853,Furniture,Chairs,"\"Global Manager's Adjustable Task Chair",""
7539,US-2018-112347,"","",Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,114.288
7540,US-2018-112347,"","",Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,OFF-BI-10003707,Office Supplies,Binders,Aluminum Screw Posts,36.624
7541,US-2018-112347,"","",Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,242.352
7542,US-2018-112347,"","",Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,TEC-PH-10000213,Technology,Phones,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,49.616
7543,US-2018-112347,"","",Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,FUR-FU-10001488,Furniture,Furnishings,"\"Tenex 46\"\" x 60\"\" Computer Anti-Static Chairmat",""
7544,US-2018-112347,"","",Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,57.36
7545,US-2018-112347,"","",Standard Class,BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,906.68
7564,CA-2018-157672,"","",First Class,RB-19795,Ross Baird,Home Office,United States,Denver,Colorado,80219,West,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,63.824
7642,US-2017-157490,"","",First Class,LB-16795,Laurel Beltran,Home Office,United States,Pueblo,Colorado,81001,West,TEC-MA-10001695,Technology,Machines,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71
7643,US-2017-157490,"","",First Class,LB-16795,Laurel Beltran,Home Office,United States,Pueblo,Colorado,81001,West,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,17.904
7644,US-2017-157490,"","",First Class,LB-16795,Laurel Beltran,Home Office,United States,Pueblo,Colorado,81001,West,OFF-BI-10002571,Office Supplies,Binders,"\"Avery Framed View Binder",""
7645,US-2017-157490,"","",First Class,LB-16795,Laurel Beltran,Home Office,United States,Pueblo,Colorado,81001,West,TEC-AC-10001553,Technology,Accessories,"\"Memorex 25GB 6X Branded Blu-Ray Recordable Disc",""
7717,CA-2016-149636,"","",Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-PA-10004041,Office Supplies,Paper,"\"It's Hot Message Books with Stickers",""
7718,CA-2016-149636,"","",Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,1.938
7881,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,OFF-AR-10003856,Office Supplies,Art,Newell 344,13.344
7882,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,TEC-AC-10002006,Technology,Accessories,Memorex Micro Travel Drive 16 GB,76.752
7883,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,TEC-AC-10002006,Technology,Accessories,Memorex Micro Travel Drive 16 GB,102.336
7884,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,OFF-PA-10002246,Office Supplies,Paper,"\"Wirebound Four 2-3/4 x 5 Forms per Page",""
7885,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,OFF-SU-10004782,Office Supplies,Supplies,"\"Elite 5\"\" Scissors\"",47.32
7886,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,FUR-FU-10004351,Furniture,Furnishings,Staple-based wall hangings,23.376
7887,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,FUR-FU-10004270,Furniture,Furnishings,"\"Eldon Image Series Desk Accessories",""
7888,CA-2018-118017,"","",Second Class,LC-16870,Lena Cacioppo,Consumer,United States,Thornton,Colorado,80229,West,FUR-FU-10004053,Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,16.192
7968,CA-2017-157707,"","",First Class,CC-12610,Corey Catlett,Corporate,United States,Denver,Colorado,80219,West,FUR-BO-10001567,Furniture,Bookcases,"\"Bush Westfield Collection Bookcases",""
7969,CA-2017-157707,"","",First Class,CC-12610,Corey Catlett,Corporate,United States,Denver,Colorado,80219,West,TEC-PH-10002583,Technology,Phones,iOttie HLCRIO102 Car Mount,15.992
7970,CA-2017-157707,"","",First Class,CC-12610,Corey Catlett,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10004853,Furniture,Chairs,"\"Global Manager's Adjustable Task Chair",""
7994,US-2016-165743,"","",Second Class,MM-18055,Michelle Moray,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,4.896
7995,US-2016-165743,"","",Second Class,MM-18055,Michelle Moray,Consumer,United States,Aurora,Colorado,80013,West,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,145.764
7996,US-2016-165743,"","",Second Class,MM-18055,Michelle Moray,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,9.612
8012,US-2016-136427,"","",First Class,JM-16195,Justin MacKendrick,Consumer,United States,Aurora,Colorado,80013,West,TEC-PH-10002070,Technology,Phones,Griffin GC36547 PowerJolt SE Lightning Charger,125.944
8427,CA-2016-128356,"","",Standard Class,RP-19390,Resi Pölking,Consumer,United States,Thornton,Colorado,80229,West,OFF-SU-10004290,Office Supplies,Supplies,"\"Acme Design Line 8\"\" Stainless Steel Bent Scissors w/Champagne Handles",""
8465,CA-2016-144043,"","",Standard Class,AB-10165,Alan Barnes,Consumer,United States,Louisville,Colorado,80027,West,TEC-AC-10002718,Technology,Accessories,Belkin Standard 104 key USB Keyboard,46.688
8496,CA-2017-143154,"","",Standard Class,AS-10225,Alan Schoenberger,Corporate,United States,Longmont,Colorado,80501,West,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,165.6
8550,CA-2016-126186,"","",First Class,GB-14530,George Bell,Corporate,United States,Aurora,Colorado,80013,West,FUR-FU-10000073,Furniture,Furnishings,Deflect-O Glasstique Clear Desk Accessories,24.64
8592,CA-2018-101700,"","",First Class,SO-20335,Sean O'Donnell,Consumer,United States,Greeley,Colorado,80634,West,OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,18.688
8593,CA-2018-101700,"","",First Class,SO-20335,Sean O'Donnell,Consumer,United States,Greeley,Colorado,80634,West,FUR-FU-10001025,Furniture,Furnishings,"\"Eldon Imàge Series Desk Accessories",""
8626,CA-2016-156118,"","",Standard Class,HG-14965,Henry Goldwyn,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,15.696
8770,CA-2017-151148,"","",Same Day,PO-19180,Philisse Overcash,Home Office,United States,Louisville,Colorado,80027,West,TEC-PH-10001870,Technology,Phones,Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,146.952
8771,CA-2017-151148,"","",Same Day,PO-19180,Philisse Overcash,Home Office,United States,Louisville,Colorado,80027,West,FUR-CH-10002304,Furniture,Chairs,"\"Global Stack Chair without Arms",""
9023,US-2017-141880,"","",First Class,TC-21475,Tony Chapman,Home Office,United States,Fort Collins,Colorado,80525,West,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,98.328
9284,CA-2018-102218,"","",Second Class,LW-17215,Luke Weiss,Consumer,United States,Fort Collins,Colorado,80525,West,OFF-LA-10002475,Office Supplies,Labels,Avery 519,11.696
9393,CA-2016-130848,"","",Same Day,DG-13300,Deirdre Greer,Corporate,United States,Denver,Colorado,80219,West,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,582.336
9554,CA-2017-125724,"","",Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Broomfield,Colorado,80020,West,FUR-FU-10000246,Furniture,Furnishings,Aluminum Document Frame,68.432
